run_dir,collocation_time,computer,derivmatch_time,err-file,init,model,n_params,ncol,out-file,param,pretraining,problem,profile,seed,shapovalova_time,shoot-iters,shooting_time,sigma,timestamp,training,training_time,cfg.amr_rounds,cfg.depth,cfg.dm_iters,cfg.hidden,cfg.lm_iters,cfg.signed_loss,cfg.linsolve,use_collocation,use_derivmatch,shapovalova,shooting
run_qQy6yq4M,2333.225332196,orcd,0.0,/home/txenakis/projects/BVPsolver/logs/array_20140853_98.err,default,GELU-scaled,650,0,/home/txenakis/projects/BVPsolver/logs/array_20140853_98.out,none,none,pollu,fast,14,0.0,1000,0.0,0.0,2026-08-11T02:21:06.937,collocation,2333.225332196,1,3,30000,32,150,False,,,,,
run_qROUxJTT,20.442499167,orcd,0.0,/home/txenakis/projects/BVPsolver/logs/array_20140853_169.err,default,mlp,243,0,/home/txenakis/projects/BVPsolver/logs/array_20140853_169.out,none,none,rober,fast,15,0.0,1000,0.0,0.0,2026-08-11T02:05:06.344,collocation,20.442499167,1,2,10000,12,150,False,,,,,
run_qW79At3q,0.0,orcd,0.0,/home/txenakis/projects/BVPsolver/logs/array_20198490_420.err,default,stiff,486,0,/home/txenakis/projects/BVPsolver/logs/array_20198490_420.out,none,none,orego,fast,11,0.0,1000,2152.016293194,0.0,2026-08-11T11:30:06.953,shooting,2152.016293194,1,2,10000,16,150,False,,,,,
run_qvfGYM2e,1004.214531024,orcd,29.277692243,/home/txenakis/projects/BVPsolver/logs/array_20140853_103.err,default,GELU-scaled,650,0,/home/txenakis/projects/BVPsolver/logs/array_20140853_103.out,none,derivmatch,pollu,fast,14,0.0,1000,0.0,0.0,2026-08-11T01:59:44.870,collocation,1033.492223267,1,3,30000,32,150,False,,,,,
run_r3gZ1JPj,135.845192574,orcd,0.0,/home/txenakis/projects/BVPsolver/logs/array_20198490_377.err,default,mlp,552,0,/home/txenakis/projects/BVPsolver/logs/array_20198490_377.out,none,none,hires,fast,13,0.0,1000,0.0,0.0,2026-08-11T10:18:54.724,collocation,135.845192574,1,2,10000,16,150,False,qr,,,,
run_rIv3t2aN,0.0,orcd,0.0,/home/txenakis/projects/BVPsolver/logs/array_20198490_385.err,default,GELU-scaled,243,0,/home/txenakis/projects/BVPsolver/logs/array_20198490_385.out,none,none,hires,fast,11,0.0,1000,398.508648644,0.0,2026-08-11T10:27:08.060,shooting,398.508648644,1,2,10000,16,150,False,qr,,,,
run_rK8mL5Xp,0.0,orcd,25.109723699,/home/txenakis/projects/BVPsolver/logs/array_20140853_163.err,default,mlp,243,0,/home/txenakis/projects/BVPsolver/logs/array_20140853_163.out,none,derivmatch,rober,fast,14,0.0,1000,0.0,0.0,2026-08-11T02:03:54.320,none,25.109723699,1,2,10000,12,150,False,,,,,
run_rOYFdDnk,33.31444295,orcd,36.545734055,/home/txenakis/projects/BVPsolver/logs/array_20140853_242.err,default,stiff,268,0,/home/txenakis/projects/BVPsolver/logs/array_20140853_242.out,none,derivmatch,vanderpol,fast,13,0.0,1000,0.0,0.0,2026-08-11T02:50:20.598,collocation,69.860177005,1,2,10000,12,150,True,,,,,
run_rUaApdiu,5103.979941145,orcd,0.0,/home/txenakis/projects/BVPsolver/logs/array_20140853_62.err,default,mlp,3444,0,/home/txenakis/projects/BVPsolver/logs/array_20140853_62.out,none,none,pollu,fast,13,0.0,1000,0.0,0.0,2026-08-11T00:13:47.183,collocation,5103.979941145,1,3,30000,32,150,False,,,,,
run_rVsfCV82,152.318704423,orcd,26.698652627,/home/txenakis/projects/BVPsolver/logs/array_20198490_381.err,default,mlp,552,0,/home/txenakis/projects/BVPsolver/logs/array_20198490_381.out,none,derivmatch,hires,fast,12,0.0,1000,0.0,0.0,2026-08-11T10:20:57.147,collocation,179.01735705000002,1,2,10000,16,150,False,qr,,,,
run_rWau00x8,0.0,orcd,0.0,/home/txenakis/projects/BVPsolver/logs/array_20198490_458.err,default,mlp,387,0,/home/txenakis/projects/BVPsolver/logs/array_20198490_458.out,none,none,orego,fast,14,0.0,1000,58.797897153,0.0,2026-08-11T12:22:16.909,shooting,58.797897153,1,2,10000,16,150,False,,,,,
run_rafdEHAI,0.0,orcd,0.0,/home/txenakis/projects/BVPsolver/logs/array_20140853_222.err,default,stiff,268,0,/home/txenakis/projects/BVPsolver/logs/array_20140853_222.out,none,none,vanderpol,fast,13,5806.589814294,1000,0.0,0.0,2026-08-11T04:06:11.176,shapovalova,5806.589814294,1,2,10000,12,150,True,,,,,
run_rdFwhrgJ,0.0,orcd,33.769034089,/home/txenakis/projects/BVPsolver/logs/array_20140853_295.err,default,GELU-scaled,177,0,/home/txenakis/projects/BVPsolver/logs/array_20140853_295.out,none,derivmatch,vanderpol,fast,11,3000.428051679,1000,0.0,0.0,2026-08-11T04:03:25.489,shapovalova,3034.197085768,1,2,10000,12,150,True,,,,,
run_rlwqHItu,41.896326492,orcd,26.658020316,/home/txenakis/projects/BVPsolver/logs/array_20198490_416.err,default,GELU-scaled,243,0,/home/txenakis/projects/BVPsolver/logs/array_20198490_416.out,none,derivmatch,hires,fast,12,0.0,1000,0.0,0.0,2026-08-11T10:51:18.218,collocation,68.554346808,1,2,10000,16,150,False,qr,,,,
run_ruGmN1gv,60.148022597,orcd,0.0,/home/txenakis/projects/BVPsolver/logs/array_20198490_482.err,default,mlp,387,0,/home/txenakis/projects/BVPsolver/logs/array_20198490_482.out,none,none,orego,fast,13,0.0,1000,0.0,0.0,2026-08-11T13:13:11.470,collocation,60.148022597,1,2,10000,16,150,False,,,,,
run_s2DmDIKa,0.0,orcd,40.06393114,/home/txenakis/projects/BVPsolver/logs/array_20140853_233.err,default,stiff,268,0,/home/txenakis/projects/BVPsolver/logs/array_20140853_233.out,none,derivmatch,vanderpol,fast,14,0.0,1000,0.0,0.0,2026-08-11T02:45:17.416,none,40.06393114,1,2,10000,12,150,True,,,,,
run_s3Leur8V,0.0,orcd,0.0,/home/txenakis/projects/BVPsolver/logs/array_20140853_109.err,default,stiff,318,0,/home/txenakis/projects/BVPsolver/logs/array_20140853_109.out,none,none,rober,fast,15,0.0,1000,460.219639516,0.0,2026-08-11T01:50:07.127,shooting,460.219639516,1,2,10000,12,150,False,,,,,
run_s8lDZmpg,0.0,orcd,0.0,/home/txenakis/projects/BVPsolver/logs/array_20140853_247.err,default,mlp,218,0,/home/txenakis/projects/BVPsolver/logs/array_20140853_247.out,none,none,vanderpol,fast,13,0.0,1000,119.548908595,0.0,2026-08-11T02:52:10.031,shooting,119.548908595,1,2,10000,12,150,True,,,,,
run_sPiqg7Vl,0.0,orcd,0.0,/home/txenakis/projects/BVPsolver/logs/array_20140853_188.err,default,GELU-scaled,188,0,/home/txenakis/projects/BVPsolver/logs/array_20140853_188.out,none,none,rober,fast,14,47.918226911,1000,0.0,0.0,2026-08-11T02:14:50.946,shapovalova,47.918226911,1,2,10000,12,150,False,,,,,
run_sRTka7UP,163.362381375,orcd,31.784235557,/home/txenakis/projects/BVPsolver/logs/array_20198490_346.err,default,stiff,816,0,/home/txenakis/projects/BVPsolver/logs/array_20198490_346.out,none,derivmatch,hires,fast,12,0.0,1000,0.0,0.0,2026-08-11T10:15:24.670,collocation,195.146616932,1,2,10000,16,150,False,qr,,,,
run_sRbLyxTD,0.0,orcd,0.0,/home/txenakis/projects/BVPsolver/logs/array_20140853_259.err,default,mlp,218,0,/home/txenakis/projects/BVPsolver/logs/array_20140853_259.out,none,none,vanderpol,fast,15,3819.466291534,1000,0.0,0.0,2026-08-11T03:57:58.178,shapovalova,3819.466291534,1,2,10000,12,150,True,,,,,
run_sS06immx,0.0,orcd,0.0,/home/txenakis/projects/BVPsolver/logs/array_20198490_395.err,default,GELU-scaled,243,0,/home/txenakis/projects/BVPsolver/logs/array_20198490_395.out,none,none,hires,fast,11,6493.52047496,1000,0.0,0.0,2026-08-11T12:16:27.166,shapovalova,6493.52047496,1,2,10000,16,150,False,qr,,,,
run_sVlkpDoo,14.812237537,orcd,28.732717846,/home/txenakis/projects/BVPsolver/logs/array_20140853_205.err,default,GELU-scaled,188,0,/home/txenakis/projects/BVPsolver/logs/array_20140853_205.out,none,derivmatch,rober,fast,11,0.0,1000,0.0,0.0,2026-08-11T02:21:56.919,collocation,43.544955383,1,2,10000,12,150,False,,,,,
run_sYSHpRbT,0.0,orcd,24.290288341,/home/txenakis/projects/BVPsolver/logs/array_20140853_267.err,default,mlp,218,0,/home/txenakis/projects/BVPsolver/logs/array_20140853_267.out,none,derivmatch,vanderpol,fast,13,0.0,1000,0.0,0.0,2026-08-11T03:00:36.284,none,24.290288341,1,2,10000,12,150,True,,,,,
run_scW3yhmw,29.921351815,orcd,0.0,/home/txenakis/projects/BVPsolver/logs/array_20198490_516.err,default,GELU-scaled,188,0,/home/txenakis/projects/BVPsolver/logs/array_20198490_516.out,none,none,orego,fast,12,0.0,1000,0.0,0.0,2026-08-11T13:21:40.199,collocation,29.921351815,1,2,10000,16,150,False,,,,,
run_stCnEEPG,0.0,orcd,28.250428065,/home/txenakis/projects/BVPsolver/logs/array_20140853_125.err,default,stiff,318,0,/home/txenakis/projects/BVPsolver/logs/array_20140853_125.out,none,derivmatch,rober,fast,11,0.0,1000,0.0,0.0,2026-08-11T01:42:49.960,none,28.250428065,1,2,10000,12,150,False,,,,,
run_suoUL7tx,21.440330859,orcd,0.0,/home/txenakis/projects/BVPsolver/logs/array_20140853_203.err,default,GELU-scaled,188,0,/home/txenakis/projects/BVPsolver/logs/array_20140853_203.out,none,none,rober,fast,14,0.0,1000,0.0,0.0,2026-08-11T02:20:47.738,collocation,21.440330859,1,2,10000,12,150,False,,,,,
run_t52r7HJY,0.0,orcd,35.180134977,/home/txenakis/projects/BVPsolver/logs/array_20198490_444.err,default,stiff,486,0,/home/txenakis/projects/BVPsolver/logs/array_20198490_444.out,none,derivmatch,orego,fast,15,0.0,1000,0.0,0.0,2026-08-11T12:14:38.943,none,35.180134977,1,2,10000,16,150,False,,,,,
run_t7lkZFWr,133.177785953,orcd,25.641241226,/home/txenakis/projects/BVPsolver/logs/array_20198490_384.err,default,mlp,552,0,/home/txenakis/projects/BVPsolver/logs/array_20198490_384.out,none,derivmatch,hires,fast,15,0.0,1000,0.0,0.0,2026-08-11T10:23:01.810,collocation,158.81902717900002,1,2,10000,16,150,False,qr,,,,
run_tBOliw8L,0.0,orcd,0.0,/home/txenakis/projects/BVPsolver/logs/array_20140853_119.err,default,stiff,318,0,/home/txenakis/projects/BVPsolver/logs/array_20140853_119.out,none,none,rober,fast,15,3885.03587169,1000,0.0,0.0,2026-08-11T02:47:16.345,shapovalova,3885.03587169,1,2,10000,12,150,False,,,,,
run_tDQEryf5,39.742470411,orcd,25.016718995,/home/txenakis/projects/BVPsolver/logs/array_20198490_417.err,default,GELU-scaled,243,0,/home/txenakis/projects/BVPsolver/logs/array_20198490_417.out,none,derivmatch,hires,fast,13,0.0,1000,0.0,0.0,2026-08-11T10:53:04.472,collocation,64.759189406,1,2,10000,16,150,False,qr,,,,
run_tspqPlrZ,0.0,orcd,0.0,/home/txenakis/projects/BVPsolver/logs/array_20140853_142.err,default,mlp,243,0,/home/txenakis/projects/BVPsolver/logs/array_20140853_142.out,none,none,rober,fast,13,0.0,1000,3744.269918459,0.0,2026-08-11T02:52:40.987,shooting,3744.269918459,1,2,10000,12,150,False,,,,,
run_ttUURpk5,0.0,orcd,0.0,/home/txenakis/projects/BVPsolver/logs/array_20140853_212.err,default,stiff,268,0,/home/txenakis/projects/BVPsolver/logs/array_20140853_212.out,none,none,vanderpol,fast,13,0.0,1000,2583.951307299,0.0,2026-08-11T03:06:16.191,shooting,2583.951307299,1,2,10000,12,150,True,,,,,
