run_dir,stage,point_index,stiffness,sensitivity_norm,trajectory_sensitivity_norm
run_00CGPQte,shooting,124,92.64549048636226,181004.5135952515,NaN
run_00CGPQte,shooting,125,80.60938120774857,85054.7923179735,NaN
run_00CGPQte,shooting,126,272.3858217687082,17075.649663898646,NaN
run_00CGPQte,shooting,127,328.1154556285359,7373.21070857451,NaN
run_00CGPQte,shooting,128,309.383351859725,4502.304089829796,NaN
run_00CGPQte,shooting,129,307.997148692737,2329.8209786557927,NaN
run_00CGPQte,shooting,130,363.3776634002998,2150.250335718902,NaN
run_00CGPQte,shooting,131,366.7229913172812,1848.2447961572116,NaN
run_00CGPQte,shooting,132,193.73887380983322,726.6082355180858,NaN
run_00CGPQte,shooting,133,195.0662754250749,732.8606556507808,NaN
run_00CGPQte,shooting,134,148.6804828016244,554.4600851521935,NaN
run_00CGPQte,shooting,135,131.7967265452163,499.71890102111985,NaN
run_00CGPQte,shooting,136,127.62569442549221,487.77684605765313,NaN
run_00CGPQte,shooting,137,126.76834268231221,485.389224328801,NaN
run_00CGPQte,shooting,138,126.60176853272795,484.9026063658674,NaN
run_00CGPQte,shooting,139,126.53331786311814,484.674109419722,NaN
run_00CGPQte,shooting,140,126.44073669185701,484.3560591810855,NaN
run_00CGPQte,shooting,141,126.2763986303542,483.79135322994284,NaN
run_00CGPQte,shooting,142,125.954564497082,482.68683361094344,NaN
run_00CGPQte,shooting,143,124.98152231299137,479.35847476571564,NaN
run_00CGPQte,shooting,144,122.12997463760037,469.69332264324015,NaN
run_00CGPQte,shooting,145,112.21730902371924,436.7266287200545,NaN
run_00CGPQte,shooting,146,102.71383539932165,404.2433605853544,NaN
run_00CGPQte,shooting,147,95.4277225702989,374.0879419384412,NaN
run_00CGPQte,shooting,148,96.38751027694691,342.9134133797938,NaN
run_00CGPQte,shooting,149,110.92061893704329,387.9739941813431,NaN
run_00CGPQte,shooting,150,138.8191352431368,529.4929315128808,NaN
run_00CGPQte,shooting,151,156.65026844373878,627.3174017073371,NaN
run_00TXXgea,derivmatch,1,31460.096612261394,0.2027430430312058,NaN
run_00TXXgea,derivmatch,2,19611.385728677382,0.20379883386795938,NaN
run_00TXXgea,derivmatch,3,5703.479380634789,0.2043358732465396,NaN
run_00TXXgea,derivmatch,4,1338.3358014360085,0.20404149708398503,NaN
run_00TXXgea,derivmatch,5,3473.512765462168,0.20295274698139928,NaN
