t,lambda1_true,lambda2_true,lambda1_learned,lambda2_learned,is_train
162.60651461319387,291.58332098081155,4.529843653324804,289.68898770039635,3.702787831830676,1.0
162.60968760185966,297.0943930592883,1.7316207600795792,294.37106153579094,1.690811380366597,1.0
162.61286059052546,299.21300695993887,0.6624891761482559,296.05745881403607,0.6577102760578555,1.0
162.61603357919125,300.0244389743834,0.2517253765319083,297.0668237116023,0.22042751665412652,1.0
162.6193556834765,300.3402885530455,0.08925264445798575,299.1964483642763,0.08948124873586494,1.0
162.6229482989412,300.4558400496011,0.026673176972678903,294.8009442082658,0.03092029048900713,1.0
162.62697830055978,300.4903151961442,0.004063075973760988,291.2973662596389,0.005879577164023431,1.0
162.63149163539907,300.49253741665996,0.0030633820954903968,289.9748953537217,0.0024218733850602803,1.0
162.63696301339834,300.48194872499056,0.005061277515324036,289.57709343346875,0.00478055772055086,1.0
162.64354958513567,300.4652201745197,0.005475733459547882,289.4797045704449,0.0052716479281116335,1.0
162.65234524760749,300.44189968469834,0.0055387500254369115,289.4448204781736,0.005346596644812962,1.0
162.664255150268,300.4101624975847,0.005544586743894797,289.4130425910244,0.0053538707066991265,1.0
162.68301845979667,300.3601454683064,0.005546098508261821,289.3644721622833,0.005356223430169393,1.0
162.71654313642526,300.27077337657033,0.00554841944853024,289.27776282521194,0.005359976453462423,1.0
162.78245286841195,300.09504785036575,0.0055529689317950215,289.1072877579513,0.005367338721498527,1.0
162.98376528983974,299.5581584908109,0.005566908380387758,288.58653207131493,0.005389875833998303,1.0
163.59232014719552,297.93370707133033,0.0056094781519959724,287.0117390440538,0.005458498661425892,1.0
165.97109545535943,291.56226655688226,0.005782366829066632,280.84747637367036,0.005734094991908023,1.0
168.86246944169957,283.769540927011,0.006007533247611718,273.3356747474133,0.006085796417835354,1.0
172.24037094303452,274.5941561799554,0.006294022399174537,264.5310925548531,0.006522060831684939,1.0
180.75035885871776,251.09707486100325,0.007154395685091686,242.18848081133885,0.007764677209593174,1.0
187.40762118439665,232.27281252110282,0.008012076478621566,224.50614484716957,0.008918717644775143,1.0
195.7986697745616,207.86152710221265,0.009439402780486716,201.8564766778074,0.010698810141263948,1.0
200.0,195.2916080908927,0.010364231511232447,190.30818152911132,0.011782966359049851,1.0
200.66225165562915,193.2855796365001,0.010527029182782144,188.47173553797248,0.011969368775908151,0.0
201.32450331125827,191.2723604128337,0.01069497343172543,186.63042392786727,0.012160436530308516,0.0
201.98675496688742,189.25179012274342,0.01086826680636932,184.78408053530868,0.012356344806335073,0.0
